person,position,company,last_updated
AbhXDnFLkljY,(External) Lecturer/Researcher,Saxion University of Applied Sciences,2021-06-14
dhqktEqNDwqe,Head of Capability Alignment & Innovation,Ministerie van Defensie,2021-06-14
wRVxmxKsZQqgwP,Lecturer Creative Media and Game technology for the Academy of creative technology ,Saxion University of Applied Sciences,2021-06-14
vDShWLpNFvRUkrkgSH,Head of the Marketing & Communication department,Athens University of Economics and Business,2021-06-14
edrRaHOBuPqb,Professor in Public Sector and Healthcare Procurement,University of Twente,2021-06-14
JJOWVsKKCTRRj,Accountmanager bedrijven ,Gemeente Oude IJsselstreek,2021-06-14
XAKDCSQcZDuMMLW,Recruiter,Oranjegroep,2021-06-14
qStjtHNz,Verkoopmedewerker,EP:,2021-06-14
mXQprBGvIqzTt,sectorsecretaris,Aventus,2021-06-14
UGnOBhfxNVYq,Graduate Intern Communication,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,2021-06-14
rrJXiNlahgcvDRO,Manager MKB Business Acceleration,Novel-T,2021-06-14
GNyeoLIvWSiPq,Sales & Marketing Manager datadone,Datadone,2021-06-14
YYtDSHwtpuoN,Beleidsadviseur Economie,Regio Twente,2021-06-14
fQsiqnQAzSLhlcp,Marketingmanager,Forque Advisory Services Netherlands BV,2021-06-14
RwCZHfUsVFM,Technisch Directeur,Heracles Almelo,2021-06-14
HyMnIrWfjtuy,Commercieel manager,Heracles Almelo,2021-06-14
MHQjcUZbOKreg,Hoofddocent,Saxion,2021-06-14
jlfsPCNoHAttU,Innovation Manager,Qredits Microfinanciering Nederland,2021-06-14
sYhmcXKumCYY,Manager consultancy,DifferIT B.V.,2021-06-14
VSQPVFZUyIYdMrY,COO at BrixCRM | Data | Insights | Direction,BrixCRM,2021-06-14
SYqOcDYeVGATHFzHnYWbQT,Eigenaar,"Van den Brandhof, interim- en relatiemanagement",2021-06-14
vJzlrbHvEexAc,Lidmaatschap,Lions Clubs International,2021-06-14
mmvbzcJNcrnHLSMhJP,"Docent, coach, coördinator van de Ad-opleiding en de Minor E-commerce",Windesheim,2021-06-14
ZJVpYnXxZIaTbsrO,Software Consultant,Exxellence,2021-06-14
KlNRAtasMhto,"Chief Digital Transformation Officer, Enterprise Business Group",Huawei Technologies,2021-06-14
oGBHdNGSvMAI,Eigenaar,Techstate.nl,2021-06-14
vcpnsSvzgPaHKWD,Graduate Intern,CAPE Groep,2021-06-14
arAfPynXVJ,Oprichter & Eigenaar | E-commerce consultant | Strategie | SEO | SEA | Conversie optimalisatie,Creative CT,2021-06-14
